,SupplyChainId,Category,SubCategory,ProductId,ProductName,Description,Price,Quantity,ShippingCost,DeliveryTime,SellerId,SellerName,SellerCountry,SellerRating,SellerFeedback,OrderNumber,OrderId,OrderStatus,OrderDate,CustomerId
11,126,Books,Fiction,116,Harry Potter,Dewalt 18 Volt Drill,90.0,2,15,3,171,Mark Doe,Canada,4.9,75,5,12364,Returned,2020-07-21,358
12,128,Games,Necklaces,120,Sofa,Coleman 4 Person Tent,100.0,1,15,3,162,James Doe,South Africa,4.7,85,15,12364,Shipped,2020-07-21,346
13,127,Games,Parts,119,iPhone 11,HP Color LaserJet Printer,99.99,2,5,3,167,Tom Doe,Brazil,4.9,95,4,12359,Delivered,2020-07-21,347
14,136,Home Improvement,Camping,104,Nike Pegasus,HP Color LaserJet Printer,5.99,4,7,2,171,Olivia Doe,South Africa,4.9,75,9,12361,Shipped,2020-07-22,346
15,125,Outdoors,Televisions,103,Harry Potter,Dewalt 18 Volt Drill,100.0,2,8,3,166,Mark Doe,Israel,4.9,85,9,12361,Cancelled,2020-07-23,351
16,138,Sports,Dolls,103,Protein Powder,Ashley Furniture Sofa,799.0,2,10,2,175,David Doe,Mexico,4.9,90,9,12355,Cancelled,2020-07-22,352
17,133,Shoes,Appliances,111,Coffee Maker,90 Degree By Reflex Yoga Pants,120.0,4,8,1,157,James Doe,Indonesia,4.9,95,18,12362,Delivered,2020-07-23,349
18,126,Shoes,Appliances,112,Monopoly,Keurig K-Cup Coffee Maker,2199.0,1,5,1,166,James Doe,China,4.9,85,1,12345,Delivered,2020-07-21,347
19,139,Toys,Dolls,119,Tires,Cuisinart Belgian Waffle Maker,35.0,3,6,2,164,Tom Doe,UK,4.8,90,15,12353,Cancelled,2020-07-21,348
20,129,Toys,Makeup,103,Tires,Pepsi 12 Pack,50.0,2,5,2,164,Elizabeth Doe,Russia,4.9,75,16,12349,Cancelled,2020-07-21,360
21,136,Furniture,Bottoms,105,Sofa,Cuisinart Belgian Waffle Maker,19.99,2,6,2,171,Sarah Doe,Mexico,4.9,75,15,12346,Delivered,2020-07-22,361
22,130,Books,Running Shoes,113,Yoga Pants,Barbie Dreamhouse Playset,50.0,1,5,3,160,James Doe,Japan,4.9,98,15,12354,Returned,2020-07-22,348
23,128,Toys,Board Games,111,Nike Pegasus,50 inch LED 4K Ultra HD TV,5.99,1,5,1,175,Olivia Doe,Australia,4.9,98,13,12352,Cancelled,2020-07-21,361
24,126,Toys,Tools,119,Nike Pegasus,Barbie Dreamhouse Playset,15.0,1,6,1,158,Sarah Doe,France,4.7,90,4,12357,Delivered,2020-07-22,359
25,132,Appliances,Televisions,119,Tires,Nike Pegasus 36 Running Shoes,150.0,3,10,2,161,Mia Doe,South Africa,4.9,85,6,12354,Cancelled,2020-07-20,363
26,134,Clothing,Necklaces,120,Spiderman,Nike Pegasus 36 Running Shoes,599.0,1,5,2,175,Noah Doe,South Africa,4.9,90,8,12362,Returned,2020-07-23,361
27,131,Furniture,Tools,103,iPhone 11,90 Degree By Reflex Yoga Pants,400.0,2,5,3,160,Sarah Doe,Australia,4.9,75,13,12352,Returned,2020-07-20,352
28,127,Sports,Televisions,120,Printer,90 Degree By Reflex Yoga Pants,400.0,1,5,1,168,Noah Doe,China,4.9,85,16,12358,Delivered,2020-07-22,349
29,127,Jewelry,Athletic Wear,109,Waffle Maker,90 Degree By Reflex Yoga Pants,150.0,3,6,2,160,Isabella Doe,Canada,4.9,90,8,12345,Returned,2020-07-20,353
30,140,Sports,Parts,106,Tires,HP Color LaserJet Printer,99.99,1,5,2,173,James Doe,US,4.9,90,16,12359,Cancelled,2020-07-21,361
31,138,Toys,Parts,108,Tent,Spiderman Action Figure,400.0,4,7,1,158,Noah Doe,Korea,4.9,85,20,12361,Delivered,2020-07-22,345
32,123,Beauty,Running Shoes,106,Soda,Nike Pegasus 36 Running Shoes,19.99,1,8,2,160,Sophia Doe,Australia,4.7,90,12,12347,Delivered,2020-07-21,353
33,127,Clothing,Board Games,104,Soda,Barbie Dreamhouse Playset,2199.0,2,8,1,173,James Doe,Mexico,4.9,85,8,12345,Returned,2020-07-21,356
34,130,Home Improvement,Supplements,106,Drill,90 Degree By Reflex Yoga Pants,100.0,2,5,3,170,Ava Doe,Indonesia,4.7,80,10,12362,Cancelled,2020-07-23,357
35,123,Clothing,Fiction,113,Waffle Maker,Coleman 4 Person Tent,25.0,1,8,3,158,Mia Doe,South Africa,4.9,95,3,12355,Returned,2020-07-23,346
36,124,Clothing,Appliances,113,Tent,Dewalt 18 Volt Drill,599.0,2,5,1,159,David Doe,India,4.9,85,8,12348,Shipped,2020-07-21,348
37,123,Sports,Living Room,112,Spiderman,Michelin Primacy Tires,99.99,2,5,3,160,Mark Doe,UK,4.9,90,7,12361,Returned,2020-07-20,349
38,132,Automotive,Office Supplies,112,Barbie,Keurig K-Cup Coffee Maker,80.0,2,7,2,170,David Doe,Korea,4.8,90,20,12362,Returned,2020-07-21,352
39,125,Shoes,Televisions,106,Drill,Optimum Nutrition Protein Powder,5.99,1,5,1,172,John Doe,India,4.8,75,14,12353,Cancelled,2020-07-21,360
40,133,Jewelry,Small Appliances,118,Tires,Spiderman Action Figure,80.0,3,5,3,166,Emily Doe,Brazil,4.9,95,18,12346,Delivered,2020-07-23,350
41,139,Home Improvement,Necklaces,107,Sony Bravia,Nike Pegasus 36 Running Shoes,80.0,2,5,1,173,Oliver Doe,UK,4.8,90,18,12354,Cancelled,2020-07-22,353
42,131,Games,Supplements,115,Diamond Necklace,Pepsi 12 Pack,120.0,4,5,3,175,Tom Doe,Brazil,4.9,80,7,12361,Cancelled,2020-07-21,357
43,133,Automotive,Athletic Wear,116,Printer,Keurig K-Cup Coffee Maker,99.99,1,5,1,160,Jack Doe,Australia,4.8,95,11,12347,Shipped,2020-07-22,356
44,136,Clothing,Living Room,101,Waffle Maker,90 Degree By Reflex Yoga Pants,400.0,1,15,3,163,Sarah Doe,Mexico,4.8,90,17,12347,Shipped,2020-07-22,346
45,134,Home Improvement,Appliances,104,Harry Potter,50 inch LED 4K Ultra HD TV,50.0,4,8,2,170,Jack Doe,Russia,4.9,85,19,12349,Delivered,2020-07-20,347
46,124,Home Improvement,Athletic Wear,104,Drill,Optimum Nutrition Protein Powder,25.0,4,8,3,175,Jack Doe,Spain,4.8,95,1,12345,Delivered,2020-07-21,356
47,129,Jewelry,Makeup,120,Protein Powder,Harry Potter and the Sorcerer's Stone,19.0,2,6,1,168,Olivia Doe,UK,4.9,95,7,12347,Cancelled,2020-07-21,362
48,139,Automotive,Beverages,102,Drill,Michelin Primacy Tires,11.99,4,10,2,173,Elizabeth Doe,UK,4.8,98,12,12361,Cancelled,2020-07-22,346
49,129,Automotive,Action Figures,112,Barbie,Nike Pegasus 36 Running Shoes,400.0,1,6,3,163,James Doe,Mexico,4.9,90,6,12348,Shipped,2020-07-21,362
50,123,Electronics,Small Appliances,115,Drill,Ashley Furniture Sofa,120.0,1,8,1,168,Isabella Doe,Italy,4.7,90,2,12350,Cancelled,2020-07-22,354
51,135,Outdoors,Appliances,105,Monopoly,Cuisinart Belgian Waffle Maker,599.0,2,6,1,168,Tom Doe,Russia,4.9,85,4,12352,Delivered,2020-07-21,354
52,139,Office,Fiction,119,Nike Pegasus,Hasbro Monopoly Game,25.0,4,6,2,159,John Doe,Korea,4.9,95,20,12351,Shipped,2020-07-22,348
53,139,Books,Running Shoes,107,Printer,Apple iPhone 11 64GB,35.0,1,10,3,162,Isabella Doe,US,4.9,95,18,12347,Shipped,2020-07-22,348
54,134,Games,Small Appliances,101,Sony Bravia,Apple iPhone 11 64GB,799.0,1,7,2,166,Emily Doe,South Africa,4.8,95,16,12358,Cancelled,2020-07-23,349
55,127,Games,Makeup,114,Foundation,50 inch LED 4K Ultra HD TV,599.0,3,6,3,173,William Doe,Japan,4.9,98,17,12345,Shipped,2020-07-20,362
56,142,Shoes,Necklaces,112,Waffle Maker,Levis 511 Slim Fit Jeans,400.0,1,6,2,175,Sarah Doe,Canada,4.9,90,19,12359,Shipped,2020-07-23,345
57,134,Jewelry,Televisions,119,Soda,Keurig K-Cup Coffee Maker,35.0,1,5,1,157,Emily Doe,South Africa,4.9,98,18,12349,Delivered,2020-07-22,363
58,123,Furniture,Beverages,109,Spiderman,Nike Pegasus 36 Running Shoes,90.0,4,5,2,168,Emma Doe,Brazil,4.9,85,17,12357,Returned,2020-07-23,350
59,140,Games,Small Appliances,117,Foundation,Ashley Furniture Sofa,19.0,2,6,3,169,William Doe,Italy,4.9,75,2,12351,Returned,2020-07-21,361
60,142,Home Improvement,Makeup,109,Drill,Loreal True Match Foundation,19.0,4,7,3,168,Sarah Doe,Germany,4.9,98,13,12349,Cancelled,2020-07-21,357
61,134,Shoes,Fiction,106,Drill,1 Carat Diamond Necklace,2199.0,2,6,2,168,Jack Doe,France,4.9,90,14,12357,Cancelled,2020-07-23,357
62,132,Jewelry,Appliances,120,Tent,Dewalt 18 Volt Drill,150.0,4,6,1,166,Emma Doe,France,4.9,95,19,12349,Shipped,2020-07-21,348
63,140,Electronics,Makeup,117,Protein Powder,Optimum Nutrition Protein Powder,120.0,2,6,2,158,James Doe,China,4.7,90,9,12345,Returned,2020-07-21,346
64,139,Games,Appliances,108,Drill,Keurig K-Cup Coffee Maker,5.99,3,8,2,168,David Doe,Canada,4.9,75,12,12345,Shipped,2020-07-20,357
65,124,Health,Board Games,114,Nike Pegasus,Optimum Nutrition Protein Powder,11.99,1,7,1,168,Sophia Doe,Russia,4.9,95,9,12354,Cancelled,2020-07-23,347
66,133,Home Improvement,Phones,119,Printer,Apple iPhone 11 64GB,45.0,3,6,3,173,Mark Doe,South Africa,4.9,95,8,12355,Returned,2020-07-22,345
67,135,Kitchen,Fiction,120,Tires,Nike Pegasus 36 Running Shoes,25.0,2,7,1,169,Jack Doe,Mexico,4.9,90,17,12345,Returned,2020-07-23,348
68,132,Home Improvement,Phones,116,Diamond Necklace,Nike Pegasus 36 Running Shoes,100.0,3,7,1,167,William Doe,Israel,4.9,80,9,12364,Cancelled,2020-07-21,354
69,129,Office,Running Shoes,111,Tent,Optimum Nutrition Protein Powder,90.0,1,8,1,158,Elizabeth Doe,Australia,4.9,85,15,12356,Cancelled,2020-07-22,363
70,129,Sports,Phones,119,Monopoly,Levis 511 Slim Fit Jeans,150.0,3,10,2,169,Ava Doe,Australia,4.9,98,1,12345,Delivered,2020-07-23,349
71,142,Grocery,Action Figures,109,Nike Pegasus,Cuisinart Belgian Waffle Maker,100.0,4,15,1,172,Tom Doe,Canada,4.9,98,20,12351,Delivered,2020-07-23,351
72,131,Grocery,Phones,104,Coffee Maker,Dewalt 18 Volt Drill,599.0,1,5,2,168,David Doe,Japan,4.8,98,4,12349,Shipped,2020-07-20,363
73,137,Electronics,Necklaces,103,Protein Powder,Ashley Furniture Sofa,19.99,2,7,1,166,Tom Doe,US,4.8,85,6,12348,Cancelled,2020-07-21,363
74,124,Toys,Fiction,105,Printer,Apple iPhone 11 64GB,35.0,4,7,2,176,Jane Doe,Brazil,4.9,85,18,12354,Shipped,2020-07-20,353
75,129,Furniture,Supplements,107,Soda,Spiderman Action Figure,19.0,1,5,2,170,Tom Doe,Spain,4.9,98,13,12362,Delivered,2020-07-21,348
76,139,Books,Bottoms,120,Jeans,Cuisinart Belgian Waffle Maker,19.0,1,5,1,171,Elizabeth Doe,Germany,4.9,90,5,12345,Delivered,2020-07-21,352
77,142,Clothing,Appliances,110,Drill,Ashley Furniture Sofa,50.0,4,5,3,165,John Doe,US,4.9,98,8,12347,Shipped,2020-07-22,362
78,140,Health,Televisions,115,Yoga Pants,Harry Potter and the Sorcerer's Stone,5.99,4,5,2,163,Tom Doe,France,4.9,90,5,12355,Shipped,2020-07-21,362
79,136,Clothing,Necklaces,118,Coffee Maker,Levis 511 Slim Fit Jeans,19.99,3,5,3,157,Sarah Doe,Italy,4.7,95,3,12362,Cancelled,2020-07-21,360
80,138,Electronics,Running Shoes,110,Sony Bravia,HP Color LaserJet Printer,45.0,2,7,3,157,Emma Doe,Russia,4.9,75,4,12347,Delivered,2020-07-21,360
81,142,Jewelry,Living Room,110,Nike Pegasus,Harry Potter and the Sorcerer's Stone,50.0,3,6,2,160,Isabella Doe,Spain,4.9,80,11,12347,Delivered,2020-07-22,348
82,136,Furniture,Board Games,120,Yoga Pants,Hasbro Monopoly Game,19.99,4,6,3,167,James Doe,Canada,4.9,95,4,12362,Delivered,2020-07-20,360
83,141,Beauty,Dolls,113,Spiderman,Pepsi 12 Pack,150.0,2,5,1,165,James Doe,France,4.8,90,14,12361,Delivered,2020-07-20,362
84,134,Office,Phones,107,Harry Potter,Harry Potter and the Sorcerer's Stone,599.0,2,15,2,163,Isabella Doe,Australia,4.9,75,2,12362,Returned,2020-07-21,351
85,140,Home Improvement,Tools,116,Printer,HP Color LaserJet Printer,99.99,1,8,1,160,James Doe,Germany,4.9,95,2,12345,Returned,2020-07-22,345
86,142,Books,Parts,103,Yoga Pants,Keurig K-Cup Coffee Maker,120.0,2,5,1,172,Sarah Doe,Italy,4.9,90,17,12347,Delivered,2020-07-20,349
87,125,Automotive,Fiction,107,Tent,Spiderman Action Figure,35.0,2,7,2,167,James Doe,Israel,4.9,85,6,12355,Returned,2020-07-22,358
88,123,Home Improvement,Tools,114,Coffee Maker,Hasbro Monopoly Game,50.0,4,7,3,161,Mark Doe,Germany,4.8,80,14,12348,Cancelled,2020-07-21,356
89,133,Outdoors,Small Appliances,117,Sofa,Nike Pegasus 36 Running Shoes,25.0,1,5,2,157,Elizabeth Doe,South Africa,4.9,95,3,12364,Cancelled,2020-07-22,348
90,137,Office,Athletic Wear,110,Waffle Maker,90 Degree By Reflex Yoga Pants,90.0,1,8,1,164,Elizabeth Doe,China,4.8,95,16,12358,Delivered,2020-07-22,363
91,127,Shoes,Fiction,113,Waffle Maker,Ashley Furniture Sofa,45.0,3,5,2,176,Isabella Doe,US,4.9,75,17,12353,Shipped,2020-07-20,348
92,133,Health,Phones,104,Barbie,Levis 511 Slim Fit Jeans,400.0,3,6,1,157,Oliver Doe,Canada,4.9,90,17,12345,Cancelled,2020-07-22,363
93,123,Games,Tools,118,Drill,Apple iPhone 11 64GB,599.0,3,7,3,174,Emily Doe,Israel,4.9,90,19,12348,Shipped,2020-07-20,355
94,129,Health,Camping,102,Protein Powder,1 Carat Diamond Necklace,150.0,4,7,2,172,Noah Doe,Indonesia,4.9,85,9,12350,Shipped,2020-07-22,361
95,142,Beauty,Phones,115,Drill,Ashley Furniture Sofa,120.0,3,7,3,163,Emma Doe,US,4.9,75,9,12357,Cancelled,2020-07-21,359
96,124,Office,Televisions,112,Coffee Maker,Keurig K-Cup Coffee Maker,25.0,3,8,1,174,William Doe,Mexico,4.7,95,3,12348,Returned,2020-07-20,353
97,140,Kitchen,Running Shoes,111,Barbie,Loreal True Match Foundation,19.0,1,8,3,175,Ava Doe,Canada,4.9,85,9,12352,Returned,2020-07-21,355
98,124,Automotive,Bottoms,101,Nike Pegasus,Apple iPhone 11 64GB,25.0,3,10,1,172,William Doe,Italy,4.9,75,1,12345,Shipped,2020-07-21,360
99,123,Shoes,Beverages,103,Protein Powder,Dewalt 18 Volt Drill,19.99,4,10,1,164,Mia Doe,Russia,4.9,75,3,12355,Cancelled,2020-07-21,361
100,126,Automotive,Parts,106,Tent,Spiderman Action Figure,11.99,1,7,3,171,Sarah Doe,Indonesia,4.9,95,5,12350,Shipped,2020-07-21,353
101,125,Health,Office Supplies,107,Soda,Keurig K-Cup Coffee Maker,150.0,3,15,3,173,Tom Doe,South Africa,4.9,85,8,12351,Cancelled,2020-07-20,360
102,132,Office,Necklaces,105,Monopoly,Ashley Furniture Sofa,19.99,2,7,2,175,Jane Doe,Mexico,4.9,95,14,12346,Cancelled,2020-07-21,360
103,128,Office,Living Room,118,Harry Potter,Levis 511 Slim Fit Jeans,80.0,1,5,2,170,Emma Doe,Japan,4.8,85,8,12362,Cancelled,2020-07-23,345
104,141,Office,Fiction,119,Protein Powder,Levis 511 Slim Fit Jeans,19.0,3,8,2,163,Tom Doe,Indonesia,4.9,90,13,12346,Returned,2020-07-22,345
105,129,Home Improvement,Necklaces,103,Spiderman,Harry Potter and the Sorcerer's Stone,90.0,2,15,3,159,Emma Doe,France,4.9,85,20,12363,Cancelled,2020-07-21,358
106,127,Jewelry,Athletic Wear,102,Foundation,Optimum Nutrition Protein Powder,799.0,1,8,3,167,James Doe,Italy,4.7,90,11,12351,Cancelled,2020-07-22,357
107,135,Home Improvement,Living Room,104,Foundation,Michelin Primacy Tires,799.0,2,10,2,174,Jane Doe,Germany,4.8,95,10,12352,Returned,2020-07-21,354
108,141,Jewelry,Office Supplies,118,Harry Potter,50 inch LED 4K Ultra HD TV,599.0,1,7,1,159,Mia Doe,France,4.9,75,17,12345,Shipped,2020-07-20,345
109,137,Books,Beverages,119,Jeans,1 Carat Diamond Necklace,100.0,1,10,1,164,Emma Doe,China,4.8,95,7,12350,Cancelled,2020-07-20,355
110,137,Automotive,Dolls,115,iPhone 11,Cuisinart Belgian Waffle Maker,5.99,1,7,1,157,Sarah Doe,Korea,4.9,90,2,12362,Delivered,2020-07-23,356
111,133,Beauty,Makeup,118,Tent,1 Carat Diamond Necklace,50.0,2,5,2,158,Mia Doe,France,4.7,75,9,12363,Shipped,2020-07-23,360
112,133,Outdoors,Action Figures,106,Foundation,Michelin Primacy Tires,400.0,2,15,2,171,Emily Doe,South Africa,4.9,90,7,12364,Delivered,2020-07-20,354
113,129,Furniture,Phones,119,Foundation,Optimum Nutrition Protein Powder,15.0,1,7,1,173,Oliver Doe,Indonesia,4.9,75,12,12354,Shipped,2020-07-22,349
114,124,Outdoors,Camping,103,Harry Potter,Levis 511 Slim Fit Jeans,120.0,3,6,2,168,Mark Doe,South Africa,4.9,75,16,12359,Cancelled,2020-07-20,362
115,140,Shoes,Bottoms,112,Printer,Nike Pegasus 36 Running Shoes,11.99,3,6,3,176,James Doe,Australia,4.9,95,14,12364,Shipped,2020-07-21,360
116,132,Appliances,Bottoms,116,Drill,50 inch LED 4K Ultra HD TV,99.99,1,6,2,172,James Doe,Spain,4.9,80,8,12360,Returned,2020-07-23,360
117,129,Appliances,Bottoms,117,Barbie,Nike Pegasus 36 Running Shoes,19.99,1,10,3,163,Tom Doe,Canada,4.9,90,15,12350,Shipped,2020-07-23,349
118,140,Clothing,Action Figures,119,Barbie,90 Degree By Reflex Yoga Pants,5.99,1,5,1,158,Elizabeth Doe,Canada,4.8,90,20,12358,Returned,2020-07-22,345
119,124,Clothing,Office Supplies,113,Tent,Keurig K-Cup Coffee Maker,99.99,1,5,3,172,William Doe,Korea,4.9,85,18,12360,Cancelled,2020-07-21,355
120,138,Automotive,Fiction,111,Drill,HP Color LaserJet Printer,2199.0,1,10,3,167,Ava Doe,Japan,4.9,90,6,12357,Delivered,2020-07-21,358
121,130,Appliances,Parts,118,Barbie,Pepsi 12 Pack,19.99,3,5,2,164,Sarah Doe,Russia,4.9,75,6,12352,Delivered,2020-07-22,355
122,125,Grocery,Athletic Wear,106,iPhone 11,Apple iPhone 11 64GB,35.0,2,15,2,173,Sophia Doe,South Africa,4.9,90,7,12348,Delivered,2020-07-21,352
123,125,Clothing,Beverages,118,Jeans,HP Color LaserJet Printer,50.0,2,10,3,170,Olivia Doe,Germany,4.9,95,4,12364,Shipped,2020-07-23,360
124,129,Office,Office Supplies,113,Tent,Cuisinart Belgian Waffle Maker,2199.0,1,7,1,174,Mark Doe,Russia,4.9,85,5,12352,Cancelled,2020-07-21,357
125,140,Automotive,Necklaces,110,Jeans,Cuisinart Belgian Waffle Maker,2199.0,2,5,1,165,Elizabeth Doe,Japan,4.9,90,9,12354,Shipped,2020-07-20,352
126,140,Books,Phones,111,Barbie,Levis 511 Slim Fit Jeans,99.99,2,5,2,160,Jane Doe,Japan,4.9,75,13,12350,Returned,2020-07-22,357
127,129,Sports,Tools,119,Harry Potter,Hasbro Monopoly Game,400.0,1,5,3,164,Emily Doe,Brazil,4.7,75,17,12351,Cancelled,2020-07-22,348
128,138,Health,Supplements,119,Spiderman,Pepsi 12 Pack,599.0,1,6,1,159,Jack Doe,Indonesia,4.8,90,8,12354,Shipped,2020-07-22,350
129,133,Office,Parts,117,Jeans,Optimum Nutrition Protein Powder,45.0,4,7,2,173,Mark Doe,Korea,4.9,90,12,12349,Cancelled,2020-07-21,348
130,136,Beauty,Bottoms,106,Monopoly,Loreal True Match Foundation,100.0,1,5,2,173,Olivia Doe,South Africa,4.7,80,3,12353,Returned,2020-07-20,349
131,124,Toys,Makeup,116,Printer,1 Carat Diamond Necklace,50.0,2,6,2,174,Jane Doe,Israel,4.8,90,3,12353,Delivered,2020-07-23,360
132,130,Jewelry,Makeup,119,Waffle Maker,Levis 511 Slim Fit Jeans,15.0,1,7,3,162,Noah Doe,Canada,4.9,98,2,12346,Cancelled,2020-07-20,348
133,133,Books,Action Figures,113,Jeans,90 Degree By Reflex Yoga Pants,90.0,1,7,3,163,Mark Doe,Germany,4.8,95,1,12363,Returned,2020-07-23,351
134,125,Office,Televisions,106,Coffee Maker,Michelin Primacy Tires,11.99,4,6,3,174,Emily Doe,Spain,4.9,95,14,12352,Cancelled,2020-07-20,351
135,129,Furniture,Parts,120,Sofa,Dewalt 18 Volt Drill,11.99,1,10,1,166,John Doe,Canada,4.9,98,10,12363,Delivered,2020-07-21,348
136,127,Grocery,Dolls,113,Protein Powder,Levis 511 Slim Fit Jeans,15.0,3,8,1,160,James Doe,Canada,4.9,95,1,12355,Delivered,2020-07-21,350
137,137,Beauty,Necklaces,101,iPhone 11,Keurig K-Cup Coffee Maker,80.0,3,7,3,157,Sophia Doe,Indonesia,4.9,90,4,12349,Shipped,2020-07-22,354
138,124,Sports,Living Room,112,Monopoly,Cuisinart Belgian Waffle Maker,400.0,2,6,2,174,Sophia Doe,Israel,4.8,75,18,12345,Shipped,2020-07-23,355
139,136,Office,Televisions,112,Drill,1 Carat Diamond Necklace,2199.0,3,5,3,167,Oliver Doe,Brazil,4.8,98,17,12348,Delivered,2020-07-21,350
140,124,Sports,Board Games,107,Harry Potter,Barbie Dreamhouse Playset,50.0,2,7,1,157,Sophia Doe,Israel,4.9,90,12,12364,Shipped,2020-07-23,364
141,131,Toys,Televisions,117,Foundation,Michelin Primacy Tires,25.0,1,5,1,163,David Doe,Canada,4.9,98,11,12363,Cancelled,2020-07-21,358
142,128,Clothing,Dolls,109,Barbie,90 Degree By Reflex Yoga Pants,120.0,1,5,2,160,Noah Doe,Mexico,4.8,95,18,12351,Shipped,2020-07-21,354
143,134,Clothing,Dolls,110,Spiderman,Pepsi 12 Pack,5.99,1,7,2,166,William Doe,China,4.9,98,10,12357,Returned,2020-07-22,351
144,132,Games,Running Shoes,101,Protein Powder,Optimum Nutrition Protein Powder,5.99,1,7,1,172,Elizabeth Doe,US,4.9,95,2,12359,Cancelled,2020-07-23,363
145,125,Books,Supplements,111,Harry Potter,Harry Potter and the Sorcerer's Stone,35.0,1,8,1,170,Jane Doe,China,4.9,95,8,12352,Returned,2020-07-22,345
146,125,Health,Running Shoes,101,Foundation,Levis 511 Slim Fit Jeans,15.0,2,8,1,167,Mark Doe,India,4.9,95,5,12363,Delivered,2020-07-21,353
147,135,Kitchen,Living Room,112,Jeans,HP Color LaserJet Printer,19.0,3,5,1,162,Emma Doe,UK,4.8,95,6,12350,Shipped,2020-07-23,364
148,129,Home Improvement,Board Games,107,Barbie,Michelin Primacy Tires,150.0,2,6,3,164,Ava Doe,France,4.9,75,10,12354,Shipped,2020-07-22,361
149,129,Books,Athletic Wear,116,Jeans,Keurig K-Cup Coffee Maker,80.0,1,5,2,163,Sarah Doe,China,4.9,98,16,12352,Cancelled,2020-07-23,350
150,136,Furniture,Parts,107,Drill,Optimum Nutrition Protein Powder,90.0,1,7,2,175,Ava Doe,US,4.9,75,2,12348,Cancelled,2020-07-22,352
151,139,Clothing,Board Games,115,Sofa,50 inch LED 4K Ultra HD TV,25.0,2,6,2,161,Ava Doe,India,4.8,90,14,12355,Delivered,2020-07-22,354
152,128,Sports,Living Room,104,Tent,Nike Pegasus 36 Running Shoes,400.0,4,6,1,169,Sophia Doe,China,4.9,90,4,12357,Returned,2020-07-23,361
153,134,Sports,Camping,107,Soda,Apple iPhone 11 64GB,35.0,1,5,2,159,Tom Doe,France,4.8,85,18,12355,Returned,2020-07-20,350
154,134,Toys,Appliances,119,Sofa,Pepsi 12 Pack,15.0,1,8,1,159,Ava Doe,Italy,4.9,85,7,12345,Returned,2020-07-21,357
155,142,Electronics,Living Room,103,Waffle Maker,Harry Potter and the Sorcerer's Stone,25.0,3,5,1,158,Oliver Doe,South Africa,4.9,95,20,12347,Returned,2020-07-23,352
156,133,Games,Parts,112,Barbie,Ashley Furniture Sofa,2199.0,4,15,1,159,Sarah Doe,Israel,4.8,98,19,12361,Returned,2020-07-23,351
157,123,Books,Necklaces,105,Foundation,1 Carat Diamond Necklace,19.0,4,6,1,172,Sophia Doe,Italy,4.7,75,16,12363,Delivered,2020-07-21,360
158,140,Shoes,Living Room,109,Diamond Necklace,Cuisinart Belgian Waffle Maker,400.0,2,10,1,174,Tom Doe,Russia,4.9,98,14,12364,Delivered,2020-07-22,355
159,129,Jewelry,Bottoms,115,Printer,Dewalt 18 Volt Drill,80.0,4,7,3,172,Mark Doe,UK,4.8,80,18,12350,Delivered,2020-07-22,347
160,141,Outdoors,Bottoms,104,Barbie,Harry Potter and the Sorcerer's Stone,90.0,1,7,1,169,Isabella Doe,France,4.9,95,11,12363,Delivered,2020-07-22,354
