CustomerID,City,StateProvinceName,CountryRegionName,PostalCode,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
74367,Matraville,New South Wales,Australia,2036,8/22/1947,High School,Skilled Manual,F,M,1,2,0,4,18843
93606,Melbourne,Victoria,Australia,3000,6/11/1947,High School,Skilled Manual,F,M,1,2,0,4,15861
52715,North Sydney,New South Wales,Australia,2055,6/19/1947,High School,Skilled Manual,F,M,1,2,0,4,29017
70246,National City,California,United States,91950,12/18/1978,Partial College,Skilled Manual,F,M,1,2,0,0,84890
80169,Cliffside,British Columbia,Canada,V8Y 1L1,11/27/1977,Partial High School,Clerical,F,S,0,2,0,0,48651
69203,Lane Cove,New South Wales,Australia,1597,2/14/1975,Bachelors ,Professional,M,S,0,2,0,0,129497
75503,Tacoma,Washington,United States,98403,8/1/1977,Partial College,Skilled Manual,M,M,1,2,0,0,56248
69473,Glendale,California,United States,91203,10/16/1977,Partial College,Skilled Manual,F,M,1,2,0,0,78170
81379,Glendale,California,United States,91203,2/24/1976,Partial College,Skilled Manual,M,M,1,2,0,0,78150
99853,Lavender Bay,New South Wales,Australia,2060,3/22/1950,High School,Skilled Manual,F,M,1,2,0,3,50798
73803,Geelong,Victoria,Australia,3220,2/27/1950,High School,Skilled Manual,F,M,0,2,0,3,42738
59006,Caloundra,Queensland,Australia,4551,8/4/1951,High School,Skilled Manual,M,S,0,2,0,3,45982
51211,Matraville,New South Wales,Australia,2036,8/7/1951,Partial College,Clerical,F,S,0,2,0,2,50790
67906,San Diego,California,United States,92102,8/20/1980,Partial College,Skilled Manual,F,M,0,2,0,0,91599
87125,Geelong,Victoria,Australia,3220,3/10/1952,Partial College,Skilled Manual,F,M,1,2,0,2,50018
84068,Newcastle,New South Wales,Australia,2300,4/3/1953,Partial College,Skilled Manual,F,M,1,2,0,3,38588
60688,Lane Cove,New South Wales,Australia,1597,10/12/1953,Graduate Degree,Management,M,M,1,2,0,2,119540
97804,Townsville,Queensland,Australia,4810,4/1/1954,Partial College,Skilled Manual,F,S,1,2,0,2,86953
74897,Gold Coast,Queensland,Australia,4217,2/27/1954,Partial College,Skilled Manual,M,M,1,2,0,2,110712
99177,Portland,Oregon,United States,97205,9/2/1975,High School,Skilled Manual,M,M,1,2,0,0,52145
97617,Redmond,Washington,United States,98052,4/7/1975,High School,Skilled Manual,F,S,1,2,0,0,49609
76992,Downey,California,United States,90241,12/7/1975,High School,Skilled Manual,M,M,1,2,0,0,58306
56874,Lebanon,Oregon,United States,97355,11/27/1973,Partial College,Professional,F,M,1,2,0,0,61686
55597,Port Orchard,Washington,United States,98366,9/25/1976,Partial College,Professional,M,S,1,2,0,0,96049
91380,Sunbury,Victoria,Australia,3429,4/5/1955,High School,Skilled Manual,M,M,1,2,0,2,109883
93270,Hawthorne,Queensland,Australia,4171,6/26/1955,High School,Skilled Manual,F,S,1,2,0,2,106718
55508,St. Leonards,New South Wales,Australia,2065,2/6/1955,High School,Skilled Manual,F,S,0,2,0,2,97646
57181,Springwood,New South Wales,Australia,2777,8/14/1956,High School,Skilled Manual,F,S,1,2,0,2,58916
85621,Cloverdale,South Australia,Australia,6105,8/28/1956,High School,Skilled Manual,M,S,1,2,0,2,93934
83658,Bendigo,Victoria,Australia,3550,11/16/1957,High School,Professional,F,S,1,2,0,2,99137
53714,Melton,Victoria,Australia,3337,9/19/1957,High School,Professional,F,S,0,2,0,2,108728
81887,Cliffside,British Columbia,Canada,V8Y 1L1,1/10/1974,High School,Professional,F,S,0,2,0,0,49084
90855,Geelong,Victoria,Australia,3220,3/11/1959,Graduate Degree,Management,M,S,1,2,0,0,172444
72102,Perth,South Australia,Australia,6006,7/17/1959,Graduate Degree,Management,M,M,1,2,0,0,181590
81024,Concord,California,United States,94519,7/24/1966,Bachelors ,Management,F,M,1,3,2,2,148109
66853,Fremont,California,United States,94536,8/4/1966,Graduate Degree,Management,F,S,0,3,1,1,149717
97485,Lincoln Acres,California,United States,91950,3/15/1966,Graduate Degree,Management,F,M,1,3,1,1,163913
55806,Newport Beach,California,United States,92625,7/19/1957,High School,Professional,F,S,0,2,0,2,66900
61804,Santa Monica,California,United States,90401,12/23/1957,Partial College,Professional,M,M,1,0,1,2,97834
66199,San Diego,California,United States,92102,11/25/1957,Bachelors ,Management,M,M,1,0,1,2,129910
55562,Los Angeles,California,United States,90012,12/17/1957,Partial College,Professional,M,S,1,1,0,2,113883
53749,Haney,British Columbia,Canada,V2W 1W2,4/4/1957,Partial College,Professional,M,M,1,1,0,2,112820
63804,Wollongong,New South Wales,Australia,2500,9/10/1967,Graduate Degree,Management,F,M,1,0,0,0,106839
67834,Cranbourne,Victoria,Australia,3977,4/1/1962,Partial College,Skilled Manual,M,S,0,1,0,1,88887
54234,Port Macquarie,New South Wales,Australia,2444,9/1/1962,Partial College,Skilled Manual,M,S,1,1,0,1,108740
56142,North Sydney,New South Wales,Australia,2055,8/10/1962,Bachelors ,Professional,M,M,1,1,0,1,106971
72700,Warrnambool,Victoria,Australia,3280,10/27/1961,Partial College,Skilled Manual,M,M,1,1,0,1,98519
75697,Rhodes,New South Wales,Australia,2138,5/1/1961,Partial College,Skilled Manual,F,S,0,1,0,1,82707
88206,Port Macquarie,New South Wales,Australia,2444,3/8/1961,Bachelors ,Professional,M,M,1,1,0,1,103866
89961,Cloverdale,South Australia,Australia,6105,9/15/1960,Partial College,Skilled Manual,F,S,1,1,0,1,66520
94304,Cranbourne,Victoria,Australia,3977,5/8/1965,Bachelors ,Professional,F,S,0,1,0,0,75270
63991,Sydney,New South Wales,Australia,1002,4/21/1965,Bachelors ,Professional,F,S,1,4,5,5,95167
55218,Gold Coast,Queensland,Australia,4217,3/11/1964,Bachelors ,Professional,M,M,0,1,0,0,102445
83037,Matraville,New South Wales,Australia,2036,12/28/1964,Bachelors ,Professional,F,S,0,1,0,0,88445
63101,South Melbourne,Victoria,Australia,3205,11/5/1963,Bachelors ,Professional,M,S,0,2,0,0,106891
69940,Darlinghurst,New South Wales,Australia,2010,6/6/1962,Partial College,Skilled Manual,M,M,1,1,0,1,77012
52897,Perth,South Australia,Australia,6006,2/21/1962,Bachelors ,Professional,M,M,1,2,4,5,104220
74023,Essen,Hamburg,Germany,45001,12/13/1973,Partial High School,Manual,M,S,0,2,0,0,18709
75814,Matraville,New South Wales,Australia,2036,2/21/1961,Partial College,Skilled Manual,F,M,1,3,4,5,73276
86845,Port Macquarie,New South Wales,Australia,2444,4/10/1935,Partial College,Clerical,M,S,0,2,0,2,51078
67332,Sydney,New South Wales,Australia,1002,8/9/1936,Bachelors ,Management,F,S,1,1,0,2,52280
56626,Sunbury,Victoria,Australia,3429,6/20/1960,Partial College,Skilled Manual,M,M,1,3,4,5,102114
85347,Warrnambool,Victoria,Australia,3280,7/27/1957,Partial College,Skilled Manual,M,S,1,1,0,1,106875
93709,Seaford,Victoria,Australia,3198,4/8/1956,Partial College,Skilled Manual,F,S,1,1,0,1,65730
80220,Sedro Woolley,Washington,United States,98284,8/5/1975,High School,Skilled Manual,F,S,1,1,0,0,32122
52735,Lebanon,Oregon,United States,97355,1/6/1980,High School,Skilled Manual,F,M,1,2,0,0,34879
61485,Haney,British Columbia,Canada,V2W 1W2,3/12/1980,High School,Skilled Manual,F,M,0,2,0,0,39266
67690,Langford,British Columbia,Canada,V9,10/26/1980,High School,Skilled Manual,F,S,0,2,0,0,44139
54595,Lake Oswego,Oregon,United States,97034,9/8/1980,Partial High School,Clerical,F,S,0,2,0,0,37010
98072,Perth,South Australia,Australia,6006,2/26/1946,High School,Skilled Manual,M,S,1,2,0,5,26209
95042,Burlingame,California,United States,94010,11/3/1979,Partial High School,Clerical,M,S,0,2,0,0,64613
73882,Metchosin,British Columbia,Canada,V9,10/26/1978,High School,Skilled Manual,F,S,0,2,0,0,38527
96887,Spokane,Washington,United States,99202,7/20/1978,High School,Skilled Manual,F,M,1,2,0,0,42811
93946,Glendale,California,United States,91203,9/15/1978,High School,Skilled Manual,F,M,0,2,0,0,48772
72234,Cloverdale,South Australia,Australia,6105,11/9/1938,Partial College,Clerical,F,S,0,2,0,2,27610
63557,Burbank,California,United States,91502,2/11/1977,Partial High School,Clerical,M,S,0,2,0,0,64633
91810,Daly City,California,United States,94015,6/21/1977,High School,Skilled Manual,F,M,0,2,0,0,32916
82793,Langford,British Columbia,Canada,V9,8/14/1977,High School,Skilled Manual,M,S,0,2,0,0,63488
69940,Lakewood,California,United States,90712,2/4/1977,High School,Skilled Manual,M,M,1,2,0,0,43666
63089,Matraville,New South Wales,Australia,2036,8/26/1939,Bachelors ,Management,F,S,1,2,0,2,66934
98029,Warrnambool,Victoria,Australia,3280,2/5/1939,Graduate Degree,Management,M,M,1,1,0,2,124211
56350,East Brisbane,Queensland,Australia,4169,8/16/1941,Bachelors ,Management,M,M,1,2,0,2,63251
71255,Hervey Bay,Queensland,Australia,4655,4/20/1941,Bachelors ,Management,M,M,1,2,0,2,82448
57580,Sunbury,Victoria,Australia,3429,3/15/1941,Bachelors ,Management,M,S,1,2,0,2,77855
65807,Sydney,New South Wales,Australia,1002,2/25/1942,Graduate Degree,Management,F,S,0,1,0,2,94385
72079,Puyallup,Washington,United States,98371,1/10/1976,High School,Skilled Manual,M,S,1,2,0,0,62553
77091,Woodburn,Oregon,United States,97071,8/21/1976,Partial College,Skilled Manual,F,S,1,1,0,0,33375
87821,Burbank,California,United States,91502,1/26/1976,Partial College,Skilled Manual,M,S,0,1,0,0,60713
78322,Tacoma,Washington,United States,98403,6/11/1975,High School,Skilled Manual,F,M,1,2,0,0,45639
91679,Concord,California,United States,94519,4/22/1974,Partial College,Skilled Manual,F,S,0,1,0,0,46024
73317,Torrance,California,United States,90505,5/5/1974,Partial College,Skilled Manual,M,S,0,1,0,0,48946
91487,Oakland,California,United States,94611,7/18/1973,Partial College,Skilled Manual,F,M,0,1,0,0,89154
82753,Olympia,Washington,United States,98501,4/24/1972,Partial College,Skilled Manual,F,S,0,2,0,0,70041
75403,Coronado,California,United States,92118,6/22/1968,Bachelors ,Management,M,M,1,1,4,4,116323
90128,Burien,Washington,United States,98168,2/5/1968,Bachelors ,Management,F,M,1,1,4,4,104668
65687,Woodland Hills,California,United States,91364,10/9/1967,Bachelors ,Management,M,S,1,2,0,1,128776
53607,Lynnwood,Washington,United States,98036,11/21/1967,Bachelors ,Management,F,M,1,2,0,1,97616
91925,W. Linn,Oregon,United States,97068,9/1/1967,Graduate Degree,Management,F,S,0,4,0,0,151318
99643,Los Angeles,California,United States,90012,7/13/1967,Graduate Degree,Management,M,M,1,0,1,1,183231
71599,Beverly Hills,California,United States,90210,3/5/1963,Partial College,Skilled Manual,M,S,1,2,0,0,98032
68385,Haney,British Columbia,Canada,V2W 1W2,1/25/1968,Bachelors ,Management,M,M,1,1,4,4,140875
58027,San Diego,California,United States,92102,7/4/1942,Graduate Degree,Management,M,M,1,2,4,4,185657
81352,Chula Vista,California,United States,91910,1/2/1943,Bachelors ,Management,F,M,1,4,3,3,145176
53281,Santa Cruz,California,United States,95062,7/15/1944,Bachelors ,Management,F,S,1,2,0,4,90366
99258,Concord,California,United States,94519,11/16/1944,Bachelors ,Management,F,S,1,2,0,4,91037
68586,Metchosin,British Columbia,Canada,V9,10/8/1944,Bachelors ,Management,F,S,1,2,0,4,83404
64494,Palo Alto,California,United States,94303,5/21/1944,Bachelors ,Management,F,S,1,2,0,4,79819
75208,Burien,Washington,United States,98168,2/22/1944,Graduate Degree,Management,F,M,1,2,0,4,85829
97138,San Gabriel,California,United States,91776,9/6/1944,Graduate Degree,Management,F,M,0,2,0,4,104279
53472,Bellingham,Washington,United States,98225,7/15/1944,Graduate Degree,Management,M,S,1,2,0,4,121950
81582,Beverly Hills,California,United States,90210,6/22/1944,Bachelors ,Management,M,M,1,2,0,5,95877
79221,Colma,California,United States,94014,12/18/1945,Bachelors ,Management,F,S,1,3,0,5,80055
89104,Woodburn,Oregon,United States,97071,2/13/1945,Bachelors ,Management,M,M,1,2,0,4,111071
85149,Palo Alto,California,United States,94303,6/10/1945,Bachelors ,Management,F,M,1,2,0,4,89692
84518,Renton,Washington,United States,98055,2/10/1946,Bachelors ,Management,F,M,1,3,0,5,86347
58011,Beaverton,Oregon,United States,97005,6/7/1946,Bachelors ,Management,M,M,1,3,0,5,96935
58688,Seattle,Washington,United States,98104,6/18/1946,Bachelors ,Management,F,M,0,1,1,3,86749
64018,Burlingame,California,United States,94010,11/6/1946,Bachelors ,Management,F,M,1,1,1,4,81296
95870,Santa Monica,California,United States,90401,8/18/1947,Bachelors ,Management,F,M,1,1,1,4,83256
59820,Lakewood,California,United States,90712,8/26/1947,Bachelors ,Management,F,M,0,2,0,5,96418
51883,Port Hammond,British Columbia,Canada,V6B 3P7,8/21/1948,High School,Professional,M,M,1,2,1,2,55404
98493,Beaverton,Oregon,United States,97005,6/1/1948,High School,Professional,F,M,1,2,1,2,50201
79958,Lynnwood,Washington,United States,98036,9/24/1948,Partial College,Professional,M,M,1,1,1,2,96883
51187,Glendale,California,United States,91203,2/4/1948,Bachelors ,Management,F,M,1,0,1,2,81421
93433,West Covina,California,United States,91791,6/8/1948,Partial College,Professional,M,M,1,2,1,4,87565
68152,Haney,British Columbia,Canada,V2W 1W2,10/12/1949,High School,Professional,F,M,1,2,1,2,50320
78365,Metchosin,British Columbia,Canada,V9,11/5/1949,High School,Professional,F,M,1,2,1,2,48200
50928,Edmonds,Washington,United States,98020,5/14/1949,Partial College,Professional,F,S,1,2,1,2,69431
65414,Milwaukie,Oregon,United States,97222,11/7/1949,Partial College,Professional,M,S,1,2,1,2,91233
70100,Portland,Oregon,United States,97205,2/11/1950,Partial College,Professional,F,S,1,2,1,2,81490
78014,Tacoma,Washington,United States,98403,9/11/1950,Partial College,Professional,F,S,0,2,1,2,76220
71717,Woodburn,Oregon,United States,97071,12/2/1950,High School,Professional,M,M,1,2,1,2,88557
56226,Colma,California,United States,94014,2/23/1950,Partial College,Professional,F,M,1,1,1,2,98934
84918,Langley,British Columbia,Canada,V3A 4R2,9/16/1951,High School,Professional,F,S,1,2,1,2,93756
92116,Burien,Washington,United States,98168,9/6/1951,High School,Professional,F,S,1,2,1,2,58807
55662,Renton,Washington,United States,98055,2/16/1951,Partial College,Professional,F,M,1,1,1,2,75300
52454,W. Linn,Oregon,United States,97068,9/27/1951,Partial College,Professional,F,M,1,1,1,2,69781
77108,Colma,California,United States,94014,8/12/1951,Partial College,Professional,M,S,1,2,1,2,107126
74454,El Cajon,California,United States,92020,4/19/1951,Partial College,Professional,F,M,1,2,1,2,83120
65849,Redwood City,California,United States,94063,12/3/1951,Partial College,Professional,M,S,1,1,2,4,79403
69053,Santa Monica,California,United States,90401,4/3/1951,Partial College,Professional,F,M,0,2,2,4,82373
87834,Bremerton,Washington,United States,98312,11/14/1952,High School,Professional,M,M,1,2,1,2,82678
78673,Everett,Washington,United States,98201,9/27/1952,High School,Professional,F,M,0,2,1,3,89815
97583,Berkeley,California,United States,94704,9/9/1952,Partial College,Professional,M,M,1,2,2,4,95975
68956,Ballard,Washington,United States,98107,2/8/1952,Partial College,Professional,M,M,1,2,2,4,97258
81090,Bellingham,Washington,United States,98225,3/5/1952,Partial College,Professional,M,S,1,2,2,5,104005
97149,Solingen,Nordrhein-Westfalen,Germany,42651,9/23/1958,Bachelors ,Management,M,S,0,4,3,3,164291
75274,Birmingham,England,United Kingdom,B29 6SL,8/10/1958,Bachelors ,Management,F,S,0,4,3,3,138418
96548,London,England,United Kingdom,SW1P 2NU,10/6/1958,Partial College,Professional,F,M,0,2,4,4,123475
62193,Les Ulis,Essonne,France,91940,10/11/1957,Partial College,Professional,F,S,1,4,3,3,114730
60518,Versailles,Yveline,France,78000,11/11/1957,Partial College,Professional,M,M,1,3,4,4,160265
75099,Esher-Molesey,England,United Kingdom,EM15,10/9/1957,Partial College,Professional,F,M,1,3,3,3,131035
51178,Runcorn,England,United Kingdom,TY31,11/26/1957,Bachelors ,Management,F,S,0,3,3,3,139552
93272,Hamburg,Hessen,Germany,22001,10/27/1956,High School,Professional,M,M,0,4,4,4,154573
64002,Hamburg,Hamburg,Germany,20354,10/9/1956,High School,Professional,F,M,0,4,4,4,136970
86505,Saint-Denis,Seine Saint Denis,France,93400,3/26/1955,Partial College,Professional,M,M,1,4,4,4,165394
80045,Sulzbach Taunus,Saarland,Germany,66272,7/13/1955,Partial College,Professional,F,M,1,3,4,4,128534
91216,Woolston,England,United Kingdom,WA1 4SY,3/12/1955,High School,Professional,F,M,1,2,4,4,140179
72055,Haney,British Columbia,Canada,V2W 1W2,7/4/1932,High School,Professional,M,S,0,2,0,4,50003
65622,Lemon Grove,California,United States,91945,6/7/1932,Graduate Degree,Management,M,S,1,1,0,3,139004
84920,Victoria,British Columbia,Canada,V8V,2/28/1933,Graduate Degree,Management,M,M,1,2,0,2,127974
59064,Burien,Washington,United States,98168,3/3/1933,Graduate Degree,Management,M,M,1,2,0,4,101550
97211,Lynnwood,Washington,United States,98036,9/20/1933,Graduate Degree,Management,F,M,1,2,0,4,88902
91745,Newport Beach,California,United States,92625,1/6/1933,Graduate Degree,Management,F,S,1,4,2,2,146565
81114,Burlingame,California,United States,94010,4/12/1965,Bachelors ,Management,F,M,1,3,2,2,127739
99188,Port Hammond,British Columbia,Canada,V6B 3P7,5/4/1964,Bachelors ,Management,F,M,1,0,3,4,97283
50553,Burien,Washington,United States,98168,9/11/1964,Partial College,Professional,F,M,1,3,5,5,104042
95342,Kirkland,Washington,United States,98033,7/13/1964,Partial College,Professional,F,M,1,3,5,5,91607
98168,Burlingame,California,United States,94010,10/2/1964,Partial College,Professional,M,S,1,4,2,4,169568
81557,Coronado,California,United States,92118,5/3/1964,Graduate Degree,Management,F,M,1,2,2,2,145275
58886,Daly City,California,United States,94015,10/13/1964,Graduate Degree,Management,M,M,1,2,2,2,173834
66607,Lakewood,California,United States,90712,5/4/1964,Graduate Degree,Management,M,M,1,3,2,2,180861
67477,San Francisco,California,United States,94109,6/5/1964,Bachelors ,Management,F,S,0,4,0,2,141306
93989,Beverly Hills,California,United States,90210,11/10/1956,Partial College,Professional,F,S,1,0,3,4,72083
78674,La Jolla,California,United States,92806,10/1/1956,Partial College,Professional,M,M,1,0,1,2,116585
82750,Bellingham,Washington,United States,98225,4/12/1934,Graduate Degree,Management,M,M,1,2,0,2,75549
94968,Colma,California,United States,94014,1/18/1934,Graduate Degree,Management,F,M,1,2,0,4,112925
97537,Cliffside,British Columbia,Canada,V8Y 1L1,9/19/1963,Partial College,Professional,F,M,1,2,3,4,102901
55266,Royal Oak,British Columbia,Canada,V8X,6/10/1963,Partial College,Professional,M,M,1,2,3,4,125463
73038,Everett,Washington,United States,98201,9/12/1963,Partial College,Professional,F,M,1,1,0,0,85754
79319,Burien,Washington,United States,98168,1/16/1962,Partial College,Professional,M,M,1,4,4,5,105527
93297,Berkeley,California,United States,94704,10/26/1962,Bachelors ,Management,M,M,1,2,3,3,155993
74533,Fremont,California,United States,94536,3/19/1962,Partial College,Professional,M,M,0,4,3,3,164943
94070,Torrance,California,United States,90505,3/3/1962,Graduate Degree,Management,M,M,1,4,0,0,169863
75825,Cliffside,British Columbia,Canada,V8Y 1L1,1/16/1961,Partial College,Professional,M,M,0,3,4,5,97392
98999,Downey,California,United States,90241,3/7/1961,Bachelors ,Management,F,M,1,1,3,3,123794
96704,Lakewood,California,United States,90712,8/18/1961,Bachelors ,Management,F,M,1,3,3,3,145642
94909,Lemon Grove,California,United States,91945,5/5/1961,Bachelors ,Management,F,M,1,3,3,3,130738
76282,San Gabriel,California,United States,91776,11/5/1961,Partial College,Professional,M,S,0,3,2,2,150167
93371,Port Orchard,Washington,United States,98366,5/27/1955,High School,Professional,M,S,0,2,0,2,96447
84511,Issaquah,Washington,United States,98027,9/3/1955,High School,Professional,M,M,0,2,0,2,92889
93571,Concord,California,United States,94519,5/16/1954,Partial High School,Skilled Manual,F,S,1,2,0,2,89097
69034,Everett,Washington,United States,98201,10/7/1935,Graduate Degree,Management,F,S,1,2,0,2,82760
96811,Burbank,California,United States,91502,2/2/1935,Graduate Degree,Management,M,S,1,2,0,4,109129
67639,Burbank,California,United States,91502,4/1/1936,Graduate Degree,Management,M,M,1,2,0,4,117520
87307,N. Vancouver,British Columbia,Canada,V7L 4J4,3/3/1960,Partial College,Professional,M,M,0,3,4,5,122139
61610,Ballard,Washington,United States,98107,6/9/1960,Partial College,Professional,M,M,1,4,4,5,127971
90364,Corvallis,Oregon,United States,97330,12/12/1960,High School,Professional,M,S,0,3,3,4,121401
93032,Portland,Oregon,United States,97205,3/17/1960,Partial College,Professional,F,M,1,0,3,3,95526
89657,Chula Vista,California,United States,91910,6/19/1960,Partial College,Professional,M,M,0,4,3,3,156297
90374,Coronado,California,United States,92118,6/22/1960,Partial College,Professional,M,M,0,4,3,3,171700
83847,Daly City,California,United States,94015,11/4/1954,Partial High School,Skilled Manual,M,M,1,2,0,2,114324
96378,Oregon City,Oregon,United States,97045,3/5/1954,High School,Professional,M,M,0,2,0,2,82817
67081,Beaverton,Oregon,United States,97005,6/12/1954,High School,Professional,F,S,1,2,0,2,72518
72803,San Francisco,California,United States,94109,7/9/1953,Graduate Degree,Management,F,S,1,2,0,3,103232
85000,Lynnwood,Washington,United States,98036,8/24/1953,Graduate Degree,Management,F,S,0,2,0,3,88666
59552,Lynnwood,Washington,United States,98036,4/3/1953,Graduate Degree,Management,F,S,1,2,0,3,91177
51909,Port Orchard,Washington,United States,98366,2/27/1953,Graduate Degree,Management,M,S,1,2,0,3,101674
60783,Issaquah,Washington,United States,98027,12/21/1953,Graduate Degree,Management,F,S,0,2,0,3,92491
66171,Port Orchard,Washington,United States,98366,10/1/1953,Graduate Degree,Management,F,S,0,2,0,3,100009
66658,Langford,British Columbia,Canada,V9,11/17/1953,Graduate Degree,Management,M,M,1,2,0,3,122242
95533,Salem,Oregon,United States,97301,9/17/1952,Partial College,Professional,F,S,0,2,0,3,45387
60221,Glendale,California,United States,91203,6/26/1937,Graduate Degree,Management,F,M,1,2,0,4,140771
95955,Burien,Washington,United States,98168,7/8/1938,Bachelors ,Management,M,M,1,2,0,5,126955
64509,Bremerton,Washington,United States,98312,3/15/1938,Bachelors ,Management,F,M,1,2,0,5,110304
96127,Glendale,California,United States,91203,5/14/1939,Bachelors ,Management,M,M,1,2,0,5,131143
68151,Beverly Hills,California,United States,90210,6/26/1939,Bachelors ,Management,M,M,1,4,3,3,167552
98992,Newton,British Columbia,Canada,V2L3W8,1/1/1940,Bachelors ,Management,M,M,1,2,0,5,133053
66523,Concord,California,United States,94519,7/25/1940,Bachelors ,Management,M,S,1,2,0,5,146838
91758,Oak Bay,British Columbia,Canada,V8P,5/13/1940,Graduate Degree,Management,M,M,1,1,4,4,184290
68698,Newcastle upon Tyne,England,United Kingdom,NT20,7/10/1962,Graduate Degree,Clerical,F,M,1,0,0,1,36399
74395,Stoke-on-Trent,England,United Kingdom,AS23,3/22/1961,Bachelors ,Manual,F,M,1,0,0,1,26675
94315,Paris,Seine (Paris),France,75019,3/12/1962,Graduate Degree,Clerical,M,M,1,0,0,1,58842
84510,Watford,England,United Kingdom,WA3,9/21/1961,Bachelors ,Manual,M,M,1,0,0,1,28641
85068,Bonn,Nordrhein-Westfalen,Germany,53131,8/10/1961,Graduate Degree,Clerical,M,M,1,0,0,1,58637
65480,Paris,Seine (Paris),France,75016,7/8/1961,Graduate Degree,Clerical,M,S,1,0,0,1,45259
85255,Cheltenham,England,United Kingdom,GL50,8/21/1936,Graduate Degree,Clerical,M,M,1,0,0,1,46868
76781,Boulogne-sur-Mer,Pas de Calais,France,62200,3/11/1962,Graduate Degree,Clerical,M,M,1,0,0,5,72684
55491,Oxford,England,United Kingdom,OX1,7/24/1957,Partial College,Manual,F,M,1,0,0,1,30760
51768,Tremblay-en-France,Seine Saint Denis,France,93290,3/12/1957,Partial College,Manual,F,S,1,0,0,1,16168
96561,Paris,Seine (Paris),France,75007,5/22/1955,Partial College,Manual,F,S,1,1,0,2,27856
84806,Braunschweig,Nordrhein-Westfalen,Germany,38001,12/23/1955,Partial College,Manual,M,M,1,1,0,2,23130
87770,Paderborn,Hamburg,Germany,33041,9/22/1955,Partial College,Manual,M,M,1,1,0,2,34162
93119,London,England,United Kingdom,W10 6BL,4/6/1939,Bachelors ,Clerical,F,S,1,0,0,1,25937
69126,Pantin,Seine Saint Denis,France,93500,3/7/1940,Partial College,Manual,M,M,1,1,0,2,14242
78076,Warrington,England,United Kingdom,WA1,6/11/1941,Bachelors ,Clerical,F,S,1,0,0,1,52894
68200,Grevenbroich,Bayern,Germany,41485,2/23/1942,Partial College,Manual,F,M,1,0,0,1,13044
54595,Wokingham,England,United Kingdom,RG41 1QW,12/28/1942,Graduate Degree,Clerical,M,M,1,0,0,1,72297
57542,Caloundra,Queensland,Australia,4551,3/23/1979,Partial College,Manual,M,S,0,1,0,0,14342
57155,Coffs Harbour,New South Wales,Australia,2450,11/11/1978,Partial College,Manual,F,S,0,1,0,0,31655
76843,Malabar,New South Wales,Australia,2036,9/4/1978,Partial College,Manual,M,S,0,1,0,0,18161
59209,Rockhampton,Queensland,Australia,4700,8/2/1978,Partial College,Manual,M,S,1,1,0,0,22747
60333,Newcastle,New South Wales,Australia,2300,4/28/1977,High School,Manual,F,M,1,2,0,0,11376
91127,Cranbourne,Victoria,Australia,3977,11/11/1977,High School,Manual,M,M,0,2,0,0,20222
